GeneID,p_val,avg_logFC,pct.1,pct.2,p_val_adj
NEUROD6,0,2.829740943,0.789,0.028,0
NEUROD2,0,1.866786433,0.677,0.074,0
SOX11,0,1.763234798,0.877,0.431,0
NFIB,0,1.586550025,0.889,0.312,0
FOXG1,0,1.440844668,0.661,0,0
SOX4,0,1.410494282,0.966,0.788,0
DCX,0,1.374692373,0.823,0.307,0
LINC01551,0,1.312233833,0.579,0.001,0
BCL11A,0,1.260648418,0.595,0.086,0
SLA,0,1.237215828,0.464,0.002,0
C1orf61,0,1.169996261,0.902,0.294,0
TMEM161B-AS1,0,1.165574768,0.738,0.231,0
FDFT1,0,1.126246133,0.789,0.319,0
TCF4,0,1.111260077,0.727,0.244,0
FABP7,0,1.098045546,0.919,0.553,0
CSRP2,0,1.092229621,0.692,0.323,0
BASP1,0,1.082502051,0.794,0.365,0
TUBB,0,1.075666168,0.981,0.877,0
SFRP1,0,1.071855037,0.405,0.061,0
GPM6A,0,1.053429545,0.817,0.463,0
MAP1B,0,1.021843792,0.961,0.763,0
ELAVL3,0,0.966851399,0.594,0.108,0
MEIS2,0,0.9626598,0.59,0.134,0
NELL2,0,0.950437676,0.479,0.127,0
CRMP1,0,0.945967734,0.731,0.314,0
JPT1,0,0.945748132,0.931,0.686,0
RTN1,0,0.932643095,0.755,0.369,0
PPP2R2B,0,0.902934351,0.573,0.142,0
MARCKSL1,0,0.870043723,0.97,0.836,0
ABRACL,0,0.869541443,0.574,0.179,0
FEZ1,0,0.866582511,0.773,0.319,0
CAMKV,0,0.857864368,0.399,0.037,0
TUBB2B,0,0.857731319,0.979,0.866,0
ENC1,0,0.854278534,0.51,0.143,0
TUBA1A,0,0.837409174,0.998,0.99,0
NR2F1,0,0.834406262,0.579,0.166,0
KIF5C,0,0.809875152,0.573,0.159,0
PAFAH1B3,0,0.797920694,0.786,0.466,0
FXYD6,0,0.797768004,0.773,0.402,0
MLLT11,0,0.768947148,0.898,0.719,0
CHD3,0,0.766772463,0.485,0.129,0
SOX5,0,0.763995972,0.333,0.019,0
ACTB,0,0.763584373,0.986,0.943,0
CENPV,0,0.755509555,0.724,0.341,0
CFL1,0,0.747124498,0.952,0.832,0
LINC00461,0,0.724025884,0.555,0.133,0
NSG1,0,0.723533068,0.595,0.205,0
ZNF428,0,0.721305747,0.862,0.593,0
LHX2,0,0.713644475,0.31,0.008,0
EMX1,0,0.699802288,0.315,0.005,0
ELAVL4,0,0.694342445,0.532,0.138,0
TMSB4X,0,0.689717433,1,1,0
TUBB2A,0,0.653003039,0.871,0.65,0
CCNI,0,0.551248863,0.937,0.839,0
YBX1,0,0.454877615,0.981,0.943,0
ACTG1,0,0.439201777,0.981,0.956,0
RPLP1,0,-0.401469297,0.985,0.996,0
RPL8,0,-0.406293088,0.975,0.979,0
RPL21,0,-0.423661218,0.984,0.99,0
RPL12,0,-0.543588624,0.954,0.962,0
SERF2,0,-0.683533428,0.869,0.941,0
ZIC1,0,-0.706071988,0.004,0.304,0
HSPB1,0,-0.782799846,0.334,0.734,0
LHX9,0,-0.838660335,0.013,0.301,0
FTL,0,-0.867791202,0.961,0.985,0
AANAT,0,-0.870687358,0.001,0.27,0
MIF,0,-0.881729722,0.453,0.735,0
SCAND1,0,-0.890231584,0.157,0.576,0
KCNIP4,0,-0.927786963,0.003,0.3,0
LDHA,0,-0.957818576,0.322,0.696,0
TPPP3,0,-0.997117798,0.008,0.284,0
CD63,0,-1.032996179,0.502,0.833,0
OTX2,0,-1.074549052,0.002,0.4,0
ANXA2,0,-1.076526984,0.051,0.426,0
TIMP1,0,-1.085198054,0.079,0.482,0
S100B,0,-1.109160446,0.013,0.3,0
DCT,0,-1.159873827,0.003,0.287,0
DCN,0,-1.192703974,0.027,0.334,0
NEAT1,0,-1.24408367,0.075,0.484,0
